0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,error
0.0798,0.019175,0.05095,0.05055,0.009675,0.088,0.029225,0.07005,0.114825,0.020225,0.04055,0.03025,0.0488,0.04885,0.128725,0.0308,0.020325,0.01955,0.03905,0.060625,
0.09767940094659314,-0.01651771441829944,0.06528624266727237,0.09332566574025097,0.0052094675308739825,0.0570175666355622,-0.0071027735929310495,0.08118147195615123,0.13424060656561923,0.006499926108631752,0.01910262581019443,-0.026851738088151986,0.08313997787361413,0.13588480034971898,0.19240036986709133,0.021539349181610105,0.08526446012122514,-0.03522518483098356,-0.011812315015173436,0.01879038468638915,0.0347875064324082
0.08942054373744342,0.0,0.05702738545812265,0.09332566574025097,0.005209467530873979,0.05346617983909671,0.0,0.07763008515968567,0.13424060656561926,0.006499926108631704,0.0056767567661183405,0.0,0.06971410882953821,0.13588480034971895,0.1924003698670913,0.021539349181610157,0.05763701016199818,0.0,0.0,0.0,0.026275011265452057
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,error
0.0798,0.019175,0.05095,0.05055,0.009675,0.088,0.029225,0.07005,0.114825,0.020225,0.04055,0.03025,0.0488,0.04885,0.128725,0.0308,0.020325,0.01955,0.03905,0.060625,
0.09724267757517714,0.06172503704824585,-0.03441501471673685,-0.03516190820239868,-0.02689323217068911,0.0692447485847364,0.07499371307995642,0.06139101337839327,0.16742422342269717,-0.002500073891369048,0.08824267757517808,-0.005080991046883835,0.036539349181610094,0.06091072491488305,0.23654456365119036,-0.037954437789715016,0.07613997787361507,0.021395155397510374,0.0449760725530252,0.06266176041966169,0.047219194263875136
0.09724267757517714,0.011609513866821589,0.0,0.0,0.0,0.02289011667633603,0.07499371307995642,0.06139101337839328,0.1661741864770127,0.0,0.08445214510605159,0.0,0.03399885365816813,0.06091072491488303,0.21756734475633288,0.0,0.057162758978757555,0.021395155397510357,0.04497607255302516,0.06266176041966176,0.028509423735153135
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,error
0.0798,0.019175,0.05095,0.05055,0.009675,0.088,0.029225,0.07005,0.114825,0.020225,0.04055,0.03025,0.0488,0.04885,0.128725,0.0308,0.020325,0.01955,0.03905,0.060625,
0.09740865390532381,0.062015495626003905,-0.02495650879927342,0.08720118349264044,0.05620325450219846,0.09340865390532486,0.03604142019116769,0.10313790686405638,0.2371254808067061,-0.0018735206341995993,0.061181471956151146,-0.015642196665909516,-0.0509326552436675,-0.02539323217068931,0.14828002963859735,0.06870325450219845,0.02589515539750984,0.034831878768925906,0.03758084326414647,0.06274474858473574,0.04811231896253759
